Symbol,Side,Qty,Fill Price,Commission,Closing Time
$CASH,deposit,223.0,0.0,0.0,2025-04-26 15:38:09
$CASH,withdrawal,64.0,0.0,0.0,2025-04-26 15:40:31
$CASH,deposit,64.0,0.0,0.0,2025-04-26 15:42:55
NASDAQ:GOOGL,buy,1.0,159.0,0.0,2025-04-28 16:22:15
$CASH,withdrawal,64.0,0.0,0.0,2025-05-02 08:19:57
$CASH,deposit,329.0,0.0,0.0,2025-05-23 19:24:19
MIL:ENEL,buy,40.402,8.14,0.33,2025-05-26 06:04:55
$CASH,deposit,117.14,0.0,0.0,2025-06-02 17:42:33
BME:ANA,buy,0.815,143.4,0.23,2025-06-02 17:43:26
NASDAQ:GOOGL,Dividend,0.18,,,2025-06-17 00:00:00
$CASH,deposit,109.66,0.0,0.0,2025-06-30 20:24:19
$CASH,deposit,107.82,0.0,0.0,2025-06-30 21:47:09
BME:ROVI,buy,2.0,54.7,0.22,2025-07-01 10:18:40
NYSE:FSS,buy,1.006,106.18,1.18,2025-07-01 13:31:11
NASDAQ:GOOGL,Dividend,0.0,,,2025-07-02 00:00:00
$CASH,taxes and fees,0.03,0.0,0.0,2025-07-02 21:22:14
$CASH,deposit,0.03,0.0,0.0,2025-07-02 21:22:14
BME:ANA,Dividend,4.07,,,2025-07-10 00:00:00
$CASH,deposit,100.0,0.0,0.0,2025-07-11 15:02:00
MIL:ENEL,buy,12.0,7.95,1.1,2025-07-14 07:38:22
$CASH,deposit,115.53,0.0,0.0,2025-07-18 08:06:06
NASDAQ:MU,buy,1.0,112.8,1.16,2025-07-21 13:31:40
BME:ROVI,Dividend,1.77,,,2025-07-24 00:00:00
MIL:ENEL,Dividend,11.6,,,2025-07-24 00:00:00
$CASH,withdrawal,18.41,0.0,0.0,2025-07-27 00:19:45
NYSE:FSS,sell,0.5,127.66,0.01,2025-07-30 17:14:45
NYSE:FSS,sell,0.506,126.61,1.16,2025-07-30 17:27:24
NASDAQ:MU,buy,1.0,105.5,1.14,2025-08-01 13:19:23
BME:ANA,sell,0.815,174.4,1.0,2025-08-18 06:00:27
NASDAQ:MU,sell,2.0,117.38,1.18,2025-08-20 13:30:35
$CASH,deposit,0.08,0.0,0.0,2025-08-27 07:01:10
$CASH,deposit,4.92,0.0,0.0,2025-08-27 07:01:34
$CASH,deposit,13.23,0.0,0.0,2025-08-27 07:03:57
BME:GRF,buy,12.0,12.17,1.29,2025-08-27 09:05:00
NYSE:RL,buy,0.862,296.52,1.16,2025-08-28 15:30:00
NASDAQ:GOOGL,Dividend,0.18,,,2025-09-15 00:00:00
NASDAQ:GOOGL,sell,1.0,255.0,0.01,2025-09-19 21:03:00
NASDAQ:NVDA,buy,1.39,182.89,1.18,2025-09-22 19:42:00
$CASH,withdrawal,12.08,0.0,0.0,2025-09-30 21:13:00
MIL:ENEL,sell,22.0,8.1,1.0,2025-10-02 20:32:00
